window,start_index,start_A,start_B,mechanism,date,v1_a_contribution,v1_b_contribution,v1_total_pnl,v1_total_return,v2_a_contribution,v2_b_contribution,v2_total_pnl,v2_total_return,v1_a_weight,v2_a_weight,daily_v1_minus_v2_return_difference
recent,0,2023-01-01,2023-11-01,A,2024-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
recent,0,2023-01-01,2023-11-01,A,2024-01-03,-34099.18151569365,2250.7690505981373,-31848.412465095513,-0.03184841246509552,-11536.895025253294,1066.3098297119125,-10470.585195541382,-0.010470585195541383,0.5,0.5,-0.021377827269554135
recent,0,2023-01-01,2023-11-01,A,2024-01-04,-4515.648412704467,0.0,-4515.648412704467,-0.004664195639240912,-507.2719945907638,0.0,-507.2719945907638,-0.0005126396315272766,0.5,0.5,-0.004151556007713636
recent,0,2023-01-01,2023-11-01,A,2024-01-05,21166.134327888485,-203.0430908203125,20963.091237068173,0.021754160867188056,5903.820454120636,-130.5369873046875,5773.2834668159485,0.005837365228662852,0.5,0.5,0.015916795638525202
recent,0,2023-01-01,2023-11-01,A,2024-01-08,2491.108733177187,1553.2025146484377,4044.3112478256244,0.00410757183698414,609.3036851882937,997.1416168212892,1606.445302009583,0.001614849907404761,0.5,0.5,0.002492721929579379
recent,0,2023-01-01,2023-11-01,A,2024-01-09,-13519.925316810612,-1517.876953125,-15037.802269935612,-0.015210543213178211,-3891.743903160094,-867.4300537109376,-4759.173956871032,-0.004776359913225198,0.5,0.5,-0.010434183299953013
recent,0,2023-01-01,2023-11-01,A,2024-01-10,7432.7105140686035,-666.8722114562875,6765.838302612316,0.0069492602797007145,2328.2171239852905,-290.35961151122495,2037.8575124740655,0.002055032036600775,0.5,0.5,0.00489422824309994
recent,0,2023-01-01,2023-11-01,A,2024-01-11,-9055.885221481323,-714.3538818359375,-9770.23910331726,-0.009965855109763574,-1969.5841250419617,-460.6210632324219,-2430.2051882743835,-0.0024456604043599705,0.5,0.5,-0.007520194705403604
recent,0,2023-01-01,2023-11-01,A,2024-01-12,14155.222044944756,315.9987530708313,14471.220798015587,0.014909544429173461,4526.105506420126,196.8560400009155,4722.961546421042,0.004764650571551614,0.5,0.5,0.010144893857621847
recent,0,2023-01-01,2023-11-01,A,2024-01-16,-1167.353816032421,-4808.419870376587,-5975.7736864090075,-0.006066329675970533,469.7930502891419,-3078.633586883543,-2608.8405365944013,-0.0026193879961352614,0.5,0.5,-0.0034469416798352712
recent,0,2023-01-01,2023-11-01,A,2024-01-17,-13148.82834720609,-2649.4142389297485,-15798.242586135839,-0.016135530260969172,-4039.2630958556965,-1677.950849533081,-5717.213945388778,-0.0057554040964314926,0.5,0.5,-0.010380126164537679
recent,0,2023-01-01,2023-11-01,A,2024-01-18,-3191.3665161132812,637.739472866058,-2553.6270432472234,-0.0026509202072644562,-1404.4025878906248,404.90966510772733,-999.4929227828975,-0.0010119938223777324,0.5,0.5,-0.0016389263848867238
